name,description,category,lat,lng,capacity_per_slot,district,region,panchayat_id,is_active,image_url
"Canoly Canal & Sarovaram Eco Park","Lush mangrove ecosystem and canal walkway right in Kozhikode city featuring wooden boardwalks & butterfly park.","eco",11.2720,75.7950,50,"Kozhikode","Kozhikode City","CKP-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Mavoor Wetlands & Bird Sanctuary","Famous eco-wetland habitat near Kozhikode home to migratory waterbirds and peaceful bamboo trails.","eco",11.2619,75.9412,50,"Kozhikode","Mavoor","MVR-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kadalundi Estuary & Mangrove Trail","Serene estuarine sanctuary where Kadalundi River meets Arabian sea ideal for birdwatching and kayaking.","wildlife",11.1278,75.8286,50,"Kozhikode","Kadalundi","KDL-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kakkayam Dam & Eco Valley","Picturesque dam site and waterfall trek in Kozhikode district surrounded by dense Malabar forests.","waterfalls",11.5432,75.9211,50,"Kozhikode","Koorachundu","KKY-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Thusharagiri Waterfalls & Trek","Cascading jungle streams forming three waterfalls surrounded by spice plantations and trekking trails.","waterfalls",11.4700,76.0500,50,"Kozhikode","Kodenchery","TSG-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Janakikkadu Eco Forest","Protected evergreen forest ecosystem rich in medicinal flora along the Kuttiyadi riverbank.","forests",11.5800,75.7500,50,"Kozhikode","Perambra","JNK-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Urakkuzhi Waterfalls & Gorge","Natural waterfall gorge and stream trek located within the Kakkayam forest reserve.","waterfalls",11.5520,75.9310,40,"Kozhikode","Kakkayam","URK-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Chembra Peak & Heart Lake","Highest peak in Wayanad with a natural heart-shaped lake surrounded by clouds and tea slopes.","viewpoints",11.5467,76.0890,50,"Wayanad","Meppadi","WYD-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Banasura Sagar Eco Dam","Largest earth dam in India offering boat rides and island trek trails in Wayanad.","viewpoints",11.6711,75.9575,60,"Wayanad","Padinharathara","BNS-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kuruva Dweep Mangrove Island","Protected river delta island on the Kabini river with bamboo rafts and dense canopy walks.","eco",11.8219,76.0911,45,"Wayanad","Mananthavady","KRV-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Mattupetty Dam & Tea Hills","Misty mountain reservoir surrounded by Anamudi peaks and rolling tea plantations.","viewpoints",10.1052,77.1234,50,"Idukki","Munnar","MNR-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Echo Point Munnar","Confluence of mountain streams famous for natural acoustic resonance and mist views.","viewpoints",10.1200,77.1500,50,"Idukki","Munnar","ECH-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Silent Valley National Park","Pristine high-altitude shola evergreen rainforest protecting rare lion-tailed macaques.","forests",11.0758,76.4703,50,"Palakkad","Mannarkkad","SVP-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Athirappilly Waterfalls","Niagara of India cascading 80 feet down Sholayar forest range in Thrissur.","waterfalls",10.2850,76.5698,75,"Thrissur","Chalakudy","ATP-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
